Country or Area,Commodity - Transaction,Year,Unit,Quantity,Quantity Footnotes
United States,Conventional crude oil - production,2018,"Metric tons,  thousand",540683,
United States,Conventional crude oil - imports,2018,"Metric tons,  thousand",382607,
United States,Conventional crude oil - exports,2018,"Metric tons,  thousand",98838,
United States,Conventional crude oil - stock changes,2018,"Metric tons,  thousand",838,
United States,Crude petroleum - refinery capacity,2018,"Metric tons,  thousand",927382,
United States,Conventional crude oil - total energy supply,2018,"Metric tons,  thousand",823614,
United States,Conventional crude oil - production,2017,"Metric tons,  thousand",461267,
United States,Conventional crude oil - imports,2017,"Metric tons,  thousand",393259,
United States,Conventional crude oil - exports,2017,"Metric tons,  thousand",57097,
United States,Conventional crude oil - stock changes,2017,"Metric tons,  thousand",-14153,
United States,Conventional crude oil - transformation,2017,"Metric tons,  thousand",818276,
United States,Conventional crude oil - transformation in oil refineries,2017,"Metric tons,  thousand",818276,
United States,Crude petroleum - refinery capacity,2017,"Metric tons,  thousand",925935,
United States,Crude petroleum - reserves,2017,"Metric tons,  thousand",6857000,1
United States,Conventional crude oil - total energy supply,2017,"Metric tons,  thousand",811582,
United States,Conventional crude oil - production,2016,"Metric tons,  thousand",438053,
United States,Conventional crude oil - imports,2016,"Metric tons,  thousand",388271,
United States,Conventional crude oil - exports,2016,"Metric tons,  thousand",29226,
United States,Conventional crude oil - stock changes,2016,"Metric tons,  thousand",4065,
United States,Conventional crude oil - transformation,2016,"Metric tons,  thousand",800594,
United States,Conventional crude oil - transformation in oil refineries,2016,"Metric tons,  thousand",800594,
United States,Crude petroleum - refinery capacity,2016,"Metric tons,  thousand",917805,
United States,Crude petroleum - reserves,2016,"Metric tons,  thousand",6857000,1
United States,Conventional crude oil - total energy supply,2016,"Metric tons,  thousand",793033,
United States,Conventional crude oil - production,2015,"Metric tons,  thousand",464056,
United States,Conventional crude oil - imports,2015,"Metric tons,  thousand",363163,
United States,Conventional crude oil - exports,2015,"Metric tons,  thousand",22938,
United States,Conventional crude oil - stock changes,2015,"Metric tons,  thousand",11231,
United States,Conventional crude oil - transformation,2015,"Metric tons,  thousand",798453,
United States,Conventional crude oil - transformation in oil refineries,2015,"Metric tons,  thousand",798453,
United States,Crude petroleum - refinery capacity,2015,"Metric tons,  thousand",900648,
United States,Crude petroleum - reserves,2015,"Metric tons,  thousand",6857000,1
United States,Conventional crude oil - total energy supply,2015,"Metric tons,  thousand",793050,
United States,Conventional crude oil - production,2014,"Metric tons,  thousand",431745,
United States,Conventional crude oil - imports,2014,"Metric tons,  thousand",362247,
United States,Conventional crude oil - exports,2014,"Metric tons,  thousand",17329,
United States,Conventional crude oil - stock changes,2014,"Metric tons,  thousand",2787,
United States,Conventional crude oil - transformation,2014,"Metric tons,  thousand",781708,
United States,Conventional crude oil - transformation in oil refineries,2014,"Metric tons,  thousand",781708,
United States,Crude petroleum - refinery capacity,2014,"Metric tons,  thousand",891421,
United States,Crude petroleum - reserves,2014,"Metric tons,  thousand",6857000,1
United States,Conventional crude oil - total energy supply,2014,"Metric tons,  thousand",773876,
United States,Conventional crude oil - production,2013,"Metric tons,  thousand",368266,
United States,Conventional crude oil - imports,2013,"Metric tons,  thousand",381281,
United States,Conventional crude oil - exports,2013,"Metric tons,  thousand",6617,
United States,Conventional crude oil - stock changes,2013,"Metric tons,  thousand",-1149,
