ID,sector,source,year,value,units
69,Commercial,Total Energy,1949,3668.816,Trillion Btu
69,Transportation,Total Energy,1949,7990.015,Trillion Btu
69,Industrial,Total Energy,1949,14723.587,Trillion Btu
69,Residential,Total Energy,1949,5599.25,Trillion Btu
68,Industrial,Total Energy,1950,16241.423,Trillion Btu
68,Transportation,Total Energy,1950,8492.473,Trillion Btu
68,Commercial,Total Energy,1950,3893.298,Trillion Btu
68,Residential,Total Energy,1950,5988.553,Trillion Btu
67,Commercial,Total Energy,1951,3873.226,Trillion Btu
67,Industrial,Total Energy,1951,17678.532,Trillion Btu
67,Transportation,Total Energy,1951,9041.892,Trillion Btu
67,Residential,Total Energy,1951,6380.193,Trillion Btu
66,Industrial,Total Energy,1952,17311.362,Trillion Btu
66,Residential,Total Energy,1952,6560.243,Trillion Btu
66,Commercial,Total Energy,1952,3873.385,Trillion Btu
66,Transportation,Total Energy,1952,9002.752,Trillion Btu
65,Residential,Total Energy,1953,6558.748,Trillion Btu
65,Industrial,Total Energy,1953,18211.754,Trillion Btu
65,Commercial,Total Energy,1953,3770.982,Trillion Btu
65,Transportation,Total Energy,1953,9123.022,Trillion Btu
64,Transportation,Total Energy,1954,8902.617,Trillion Btu
64,Commercial,Total Energy,1954,3732.921,Trillion Btu
64,Industrial,Total Energy,1954,17157.695,Trillion Btu
64,Residential,Total Energy,1954,6846.058,Trillion Btu
63,Industrial,Total Energy,1955,19484.608,Trillion Btu
63,Transportation,Total Energy,1955,9550.205,Trillion Btu
63,Commercial,Total Energy,1955,3895.14,Trillion Btu
63,Residential,Total Energy,1955,7277.988,Trillion Btu
62,Residential,Total Energy,1956,7662.725,Trillion Btu
62,Commercial,Total Energy,1956,4022.859,Trillion Btu
62,Industrial,Total Energy,1956,20209.479,Trillion Btu
62,Transportation,Total Energy,1956,9859.364,Trillion Btu
61,Transportation,Total Energy,1957,9896.269,Trillion Btu
61,Commercial,Total Energy,1957,3960.787,Trillion Btu
61,Industrial,Total Energy,1957,20218.258,Trillion Btu
61,Residential,Total Energy,1957,7712,Trillion Btu
60,Residential,Total Energy,1958,8200.674,Trillion Btu
60,Commercial,Total Energy,1958,4119.156,Trillion Btu
60,Transportation,Total Energy,1958,10004.101,Trillion Btu
60,Industrial,Total Energy,1958,19321.087,Trillion Btu
59,Residential,Total Energy,1959,8411.866,Trillion Btu
59,Transportation,Total Energy,1959,10348.53,Trillion Btu
59,Industrial,Total Energy,1959,20333.201,Trillion Btu
59,Commercial,Total Energy,1959,4372.186,Trillion Btu
58,Transportation,Total Energy,1960,10595.943,Trillion Btu
58,Commercial,Total Energy,1960,4609.4,Trillion Btu
58,Industrial,Total Energy,1960,20841.687,Trillion Btu
58,Residential,Total Energy,1960,9039.418,Trillion Btu
57,Commercial,Total Energy,1961,4727.663,Trillion Btu
57,Residential,Total Energy,1961,9286.024,Trillion Btu
57,Industrial,Total Energy,1961,20955.128,Trillion Btu
57,Transportation,Total Energy,1961,10769.126,Trillion Btu
56,Commercial,Total Energy,1962,5036.386,Trillion Btu
56,Industrial,Total Energy,1962,21788.192,Trillion Btu
56,Transportation,Total Energy,1962,11219.481,Trillion Btu
56,Residential,Total Energy,1962,9782.42,Trillion Btu
55,Industrial,Total Energy,1963,22751.19,Trillion Btu
55,Transportation,Total Energy,1963,11653.755,Trillion Btu
55,Residential,Total Energy,1963,9988.479,Trillion Btu
55,Commercial,Total Energy,1963,5250.646,Trillion Btu
54,Transportation,Total Energy,1964,11997.007,Trillion Btu
54,Residential,Total Energy,1964,10240.574,Trillion Btu
54,Commercial,Total Energy,1964,5465.993,Trillion Btu
54,Industrial,Total Energy,1964,24111.354,Trillion Btu
53,Transportation,Total Energy,1965,12432.456,Trillion Btu
53,Industrial,Total Energy,1965,25097.614,Trillion Btu
53,Commercial,Total Energy,1965,5845.423,Trillion Btu
53,Residential,Total Energy,1965,10639.387,Trillion Btu
52,Industrial,Total Energy,1966,26421.623,Trillion Btu
52,Residential,Total Energy,1966,11168.63,Trillion Btu
52,Commercial,Total Energy,1966,6324.047,Trillion Btu
52,Transportation,Total Energy,1966,13100.235,Trillion Btu
51,Industrial,Total Energy,1967,26614.298,Trillion Btu
